cluster_id,n_propuestas,top_words
1,451,"bici, carril bici, carril, bici calle, calle, bicicletas, bici carril, avenida, bicis, cardenal benlloch, manuel candela, candela"
42,328,"calle, aceras calle, aceras, calles, carrer, calle san, acera calle, san, arbolado calle, arbolado, peatonalizar calle, vicente"
3,209,"solar, solares, solar calle, aparcamiento, adecuacion solar, calle, ajardinamiento solar, adecuacion, acondicionamiento solar, placas, parque, acondicionamiento"
9,186,"aparcamiento, parking, plazas, plazas aparcamiento, bancos, aparcament, electricos, estacionamiento, residentes, carga, coches, vehiculos"
47,178,"palomas, av, paso, maestro rodrigo, rodrigo, peatones, maestro, arboles, paso peatones, arbolado, aviles, control"
34,175,"parque, parc, parque plaza, remodelacion parque, calistenia, plaza, nuevo parque, parque calle, nuevo, parques, barras, reforma parque"
0,171,"socializacion, parque, canino, zona, area, excrementos, papeleras, animales, esparcimiento, zonas, pipi, vallado"
39,153,"urbanizacion, urbanizar, civico, huertos urbanos, huertos, urbanos, urbanitzacio, calle, municipal, urbanizacion calle, centro, vella"
37,132,"plaza, torre, remodelacion plaza, torres, peatonalizar plaza, plaça, peatonalizar, quart, plaza patraix, remodelacion, serranos, torres quart"
33,131,"infantil, parque infantil, parque, infantiles, parques infantiles, parques, niños, parc infantil, zona, remodelacion parque, parc, plaza"
7,130,"iluminacion, semaforos, enllumenat, calle, led, luces, semaforo, farolas, luz, futbol, campo, campo futbol"
31,121,"jardin, botanico, jardines, calle, jardin turia, plantar, turia, plantar arboles, arboles, plantacion, construccion jardin, jardin calle"
40,97,"catolico, fernando catolico, jesus, fernando, iglesia, santos, pastor, plaza, justo pastor, gran via, justo, santos justo"
29,87,"colegio, escola, colegios, escuela, instituto, infantil, colegio publico, aula, escuela infantil, sala, publico, segura"
16,86,"pintor, poeta, capuz, jose capuz, calle, solar, jose, eduardo buil, calle pintor, cine, buil, reino"
27,81,"deportiva, deportivas, zona deportiva, deportivo, atletismo, pistas, instalaciones deportivas, instalacion deportiva, esportives, zona, pista, deportiva elemental"
17,74,"mercado, san pedro, entorno, pedro, mercat, peatonalizacion entorno, municipal, colon, rehabilitacion, mercado abastos, municipal san, peatonalizacion"
13,71,"rio, playa, rio turia, turia, barras, cauce rio, cauce, parque, parque barras, playas, riu, barras calistenia"
32,71,"contenedores, basura, contenedores basura, soterramiento, soterramiento contenedores, recogida, residus, soterrados, contenedor, instalacion, quart, soterrament"
46,69,"pipican, dejar, farolas, alqueria albors, pas, carrera malilla, cambio farolas, obra, carrera, ajardinamiento, albors, valencia"
12,67,"agua, fuentes, baños, publicos, instalacion, aguas, fuente, wc, publicas, alcantarillado, vannes, plaza vannes"
18,63,"salud, centro salud, doctor, hospital, centro, peset, hospital arnau, arnau, arnau vilanova, vilanova, calidad, peset aleixandre"
4,61,"biblioteca, publica, malvarrosa, ludoteca, barrio, adquisicion, actualizacion, dotacion, municipal, corella, rois corella, rois"
43,59,"transit, pacificacio, trafico, pacificacio transit, vehiculos, accesibilidad paradas, ayuntamiento accesibilidad, paradas, publico, av giorgeta, giorgeta perez, movilidad"
41,58,"calle, reurbanizacion, reurbanizacion calle, calles, uruguay, aceras calles, aceras, san, pergola, renaturalizacion calle, renaturalizacion, carrer"
5,58,"piscina, piscina municipal, municipal, verano, cubierta, cubrir, polideportivo, piscina aire, aire libre, publica, benimaclet, complejo deportivo"
38,51,"paneles informativos, informativos, paneles, social, publico, servicios, ciudadana, centro, espacio, residentes, instituto publico, ora residentes"
23,48,"ruido, acustica, contaminacion, trafico, reduccion, reducir, paneles, instalacion, semaforos, instalacion semaforos, contaminacio, equipo"
